output_all
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 93554
know	why	No	`` I would love to know why ... the NCAA is not giving the ACT more staffing for the clearinghouse , '' said Monica Burnett , former president of the Pacific Northwest Association for College Admission Counseling .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 93917
understand	why	No	Anyone who remembers `` The Babe Ruth Story , '' a 1948 howler with William Bendix in the title role , can understand why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 101725
know	why	No	But when a guy takes five minutes to look at a play and still gets it wrong , then I want to know why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 103806
guess	what	No	It is now 45 days later , and guess what .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 104504
see	why	No	In retrospect , I can see why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 105365
recall	who	Neg	Amato said he had written to the board asking to lease the building at the behest of a board official , but he can not recall who .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 106408
specify	which one	Neg	Reese also cited interest from a company called Telefonica , although she did n't specify which one .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 125349
specify	which one	Neg	Reese also cited interest from a company called Telefonica , although she did n't specify which one .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 127012
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 129664
understand	when and where	No	`` He helps me to understand when and where and how you put your best foot forward , '' said Thomas Johnson , chairman and chief executive of GreenPoint Financial Corp. , a bank holding company .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 133249
imagine	what	Neg	`` I sometimes think we are being punished for something bad we did , but I ca n't imagine what , '' said Mrs. Collado .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 137272
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 152369
know	how many	Neg	Rights advocates say there are more , but they do not know how many .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 155722
explain	exactly why	No	I 'm not sure I can explain exactly why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 159723
say	why	Neg	`` I 'd rather not say why , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 163474
explain	exactly why	No	I 'm not sure I can explain exactly why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 169153
say	how much	Neg	Some of the charge the company did not say how much reflects the return of products previously reported as sold .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 171217
guess	what	No	`` And , guess what , he gets hurt , '' Hart said , `` reinforcing my theory of putting your money into everyday players . ''	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 185900
guess	what	No	`` And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 192086
say	why	Neg	The section was deleted from the book during the final editing , however , but Trump would not say why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 194991
specify	when	No	The Liberal Democrats , who are the dominant party in the parliament , aim to freeze or abolish it altogether , though they failed to specify when .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 196483
find	why	No	Best of luck to anyone trying to find out why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 201460
find	why	No	Best of luck to anyone trying to find out why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 202381
understand	why	No	On the surface , it is hard to understand why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 203894
find	why	No	Best of luck to anyone trying to find out why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 211392
say	how many	Neg	Some players , Shaw said , have come forward for individual counseling , although he would n't say how many .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 215009
say	how much less	Neg	Secretary of Defense William Cohen and Secretary of State Madeleine Albright on Tuesday estimated that the cost of expanding NATO to include Poland , Hungary and the Czech Republic would likely be less than $ 2 billion , though they did n't say how much less .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 217404
know	exactly where	No	If I 'd paid attention in civics I 'd probably know exactly where , but I was too busy working on my self-esteem affirmations .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 228281
know	exactly what	Neg	`` He may have done other things , too , but we do n't know exactly what and neither does the Rembrandt Research Project , '' said Edgar Munhall , curator of the Frick Collection .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 230683
know	when	Neg	With U.S. stocks near record highs , `` everyone knows the bear market is going to come eventually , but they do n't know when , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 234351
say	when	No	Ross said the request was lodged earlier this year , but refused to say when .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 235060
know	why	No	Someday , he said , they will be old enough to learn that he was once accused of rape and they will want to know why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 236632
show	how and why	No	You 've got to show how and why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 236978
know	why	No	`` I would like to know why . ''	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 246740
say	by how much	No	Overall , Accavitti said Chrysler expects its sales in the Asia-Pacific region to increase next year from 1997 levels , although he said it was too soon to say by how much .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 258349
say	by how much	No	Despite the recent losses in Mexico , too , the index remained considerably higher than at the beginning of the year , although authorities Monday declined to say by how much .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 266802
matter	what	No	The market is going to be jittery , no matter what .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 266942
figure	why	No	According to Goldsmith , it 's easy to figure out why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 293215
know	why	No	`` Whatever his reasons are , I 'd like to know why , and maybe he 'll come forth with that this weekend . ''	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 297192
see	why	No	It is easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 298812
call	if whatever	No	Call it the zone , call it momentum , call if whatever .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 313076
know	why	Neg	When Princess Di died I actually cried and I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199710.tgrep2 315839
know	in which direction	Neg	Or , if it fears that a currency will fluctuate but does n't know in which direction , it can limit potential losses by buying futures contracts at one price and selling other contracts at another price .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 2557
wonder	why not	No	`` I love to write about work because I do n't see it much in novels , and I always wonder why not , '' she says .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 15076
say	who	Neg	`` I can not say who . ''	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 18111
say	from whom	No	`` I 've heard there is opposition , '' she said , declining to say from whom .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 27167
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 28093
see	why	No	It 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 30558
see	why	No	It 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 30613
specify	how much	Neg	York said it also expects to take more such charges in the fourth quarter , though it did n't specify how much .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 40073
specify	how many	Neg	The company also said last month that the changes would lead to minimal job cuts , but would n't specify how many .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 40079
guess	what , people	No	Well , guess what , people .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 49289
say	by how much	Neg	German Finance Minister Theo Waigel said Oct. 20 that tax revenue is less than estimated , although did n't say by how much .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 49893
figure	why	No	I 'm trying to figure out why . ''	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 53024
confirm	at what levels	Neg	Traders said the central bank entered markets several times , though they could n't confirm at what levels .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 62881
confirm	at what levels	Neg	Traders said the central bank entered markets several times , though they could n't confirm at what levels .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 64602
know	why	Neg	I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 70042
classify	when	No	`` We are not talking about evil people engaged in a conspiracy , but bureaucrats who find it is much safer to classify when in doubt , '' said Paul McMasters , head of the Freedom Forum , a journalism organization in Washington .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 71100
dictate	how	No	`` It is neither the prerogative of nor within the province of a court to dictate how , when and where a child may acknowledge God , '' he wrote .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 71810
figure	how	No	In the multistate approach , assistant attorneys general , the prime consumer fraud sleuths at the state level , hold conference calls with colleagues around the country to share concerns and figure out how to pool resources .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 72163
know	at what job , or at what level	Neg	`` I did n't know at what job , or at what level , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 75278
say	why not	No	Doby reflects the attitude of perhaps the last American generation that dared say `` why not ? ''	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 75561
explain	why	No	In the book , Sugar found 20 Dallas `` haters '' to explain why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 79368
explain	why	No	A visit to China 's third-largest steelmaker begins to explain why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 88452
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 96418
know	how long	Neg	`` They 've been saying they were going to fix this place for I do n't know how long . ''	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 96684
say	by how much	No	He declined to say by how much .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 97043
see	why	No	But read the numbers Value Line on the front page of its statistical section and you 'll see why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 102561
say	by how much	No	Exxon 's spending `` probably will be up , '' although it 's too early to say by how much , Chief Executive Lee Raymond said .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 102857
see	why	No	But read the numbers on the front page of Value Line 's statistical section and you 'll see why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 103162
say	by how much	Neg	The Oak Brook , Illinois-based company said it will eliminate 1,200 jobs , saving $ 100 million a year , and lower the costs of its truck fleet , though it did n't say by how much .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 104625
guess	what	No	Well , guess what .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 127350
figure	exactly how	No	But it is inevitable that , because the M 's have basically announced they are cutting bait with Johnson , their fans would try to figure out exactly how , where and when the relationship between the M 's and Johnson deteriorated .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 132076
specify	which funds	Neg	Long-Term Credit said in the release that it expects to offer Fidelity funds in its office in Tokyo 's Shibuya district , office , although it did n't specify which funds .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 133551
look	that bad compared the 58 percent plunge in Malaysian stocks and a 63 percent decline in Thailand shares	Neg	The Nikkei 's 29 percent decline this year in U.S. dollar terms does n't look that bad compared the 58 percent plunge in Malaysian stocks and a 63 percent decline in Thailand shares .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 136014
say	how much	Neg	He did n't say how much or what sort of information was acceptable for a news organization to publish .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 139063
specify	who	Neg	But this week , in the rush to adjourn , the House accepted the Senate 's version of the measure , which did not specify who or what should be on the new coin .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 141004
discover	why	No	Sabrina had not gone to school since it started in September , and Crew has said that school authorities did not make a sufficient effort to discover why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 143531
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 143874
know	which ones	Neg	Henick said that representatives in the tribe 's Washington office discussed the tribe 's application with `` a number of administration officials , '' but he said he did not know which ones .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 152977
find	why	No	She had apparently never shown up at the new special-education school to which she had been assigned this fall , but no one at either the new school or the old one had made more than a cursory effort to find out why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 153485
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 154699
say	by how much	Neg	The catalysts should help increase Phillips 's licensing revenue , though the Bartlesville , Oklahoma-based company did not say by how much .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 158469
know	why	No	For example , if a comic strip is dropped , they want to know why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 161634
specify	by how much	Neg	Japan 's economic stimulus package , released by the government today , includes proposals to stimulate land transactions , to make it easier for small companies to borrow money and to consider lowering corporate , land and securities taxes , though it does n't specify by how much .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 167031
specify	by how much	Neg	The stimulus package includes proposals to spur land transactions , ways to make it easier for small companies to borrow money and a proposal to lower corporate , land and securities taxes , though it does n't specify by how much .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 167468
know	how soon	Neg	`` This is something I hoped would happen someday , but I did n't know how soon , '' said Daugherty , who has a 210 average .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 173803
see	why	No	It 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 178238
say	by how much	Neg	Slow growth in Southeast Asia will likely force Nippon Steel to cut its output next year , said spokesman Katsuyoshi Fujimura , though he could not say by how much .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 182278
see	why	Neg	Hanna did n't see why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 185049
understand	why	No	After he played a tape , we could understand why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 187079
matter	what	No	No matter what .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 193405
tell	how quickly	No	At the mammoth Comdex computer trade show in Las Vegas this week , about a dozen network computers will be announced , though analysts have said it 's still soon to tell how quickly and , ultimately , if the NC will replace the PC .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 201531
say	exactly where	Neg	She lives in Queens , where she grew up , and works as an occupational therapist at a middle school on Long Island , though she wo n't say exactly where , because the passage of 18 years has not dissolved all fears .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 207094
explain	why	No	It would be harder for this generation to realize democracy than the older generation , and i will explain why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 221114
say	which one	Neg	Andrew Jarecki , chief executive officer of MovieFone , said he expects the first Los Angeles theater to offer reserved seating will be a Cineplex Odeon outlet but he could not say which one .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 221175
know	exactly who	Neg	Instead , because Kyle Richardson did not know exactly who or where he was after his big hit on Vanover , Tuten was summoned for emergency duty at the start of the second half when a Seahawk drive stalled quickly on the Kansas City 40 with Warren Moon throwing incomplete to James McKnight .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 233205
see	Meggett	Neg	I could n't see Meggett .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 233770
guess	what	No	She can sing , she can dance , she 's a huge star , she can wow an audience but guess what ?	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 237888
draw	where	No	`` You have to draw the line some where , '' said Michael H. Sutton , the chief accountant for the SEC. Regulators are already seeing an increasing number of enforcement cases involving firms that serve as consultants as well as auditors .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 242200
specify	how much	Neg	Evans said he would also have a stake in Zuckerman 's company , though he would not specify how much .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 257513
know	how much percent	Neg	`` When people asked me what percentage is not true , '' Berendt says of the book , `` I would say 5 percent ; I do n't know how much percent .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 266528
understand	why	Neg	`` I was there the morning of June 6 , 1944 and I saw the landing craft moving in , out of the mist , and stopping , and I watched their ramps drop , and out poured American soldiers , awkward and stumbling in water to their waists , overloaded with equipment , and shooting down on them was easy and killing them was easy and I could n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 266774
explain	how	Neg	I just ca n't explain how . ''	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 269672
say	who	Neg	After shares held by a client company -- Yamaichi did n't say who -- dropped in value , they were `` flown '' through more than a dozen companies .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 271548
say	how much	No	Daihyaku Mutual said it was in the process of negotiating loans now , although it declined to say how much .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 277656
say	why the limitation	Neg	He did n't say why the limitation .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 284285
see	why	No	It 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199711.tgrep2 289556
know	why	No	That 's a loaded question , because if you watched the last two games , you already know why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 473
say	when	Neg	He did n't say when .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 4694
say	when	Neg	He did n't say when .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 6821
clear	why	No	Carlesimo and Sprewell never clicked , and neither has made it clear why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 14260
say	why the limitation	Neg	He did n't say why the limitation .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 16424
know	how	Neg	`` I wanted to escape , '' he says , `` but I did n't know how .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 16659
tell	how much more	No	He said the award was worth more than $ 20 million , but he could not yet tell how much more .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 39164
say	how much	Neg	He began day trading two months ago , soon after the office opened for business , and so far `` I am down '' though he wo n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 39361
explain	why	No	`` You can see that people suffer here , but can you explain why ? ''	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 52074
figure	why	No	ATLANTA Southerners are much more likely to die in crashes than residents of other regions , and federal safety officials teamed up with Georgia Tech researchers to figure out why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 54468
say	how many	No	Ludewig said further cuts in the company 's workforce of 260,000 will be necessary in the coming years , though he declined to say how many .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 56377
guess	what	No	And guess what , NT-Boy ?	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 58620
understand	why	Neg	Intel Corp. 's shares have dropped more than 20 percent since August and some shareholders say they do n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 60121
know	why	Neg	`` We just do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 66334
understand	why	No	The Navy spent months trying to understand why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 69529
know	who in terms of free agents	Neg	I just did n't know who in terms of free agents . ''	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 70366
know	why	No	Center Mike Modano added : `` It 's been key for us the last month , but you never really know why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 71282
say	how comfortable	No	Today , he gets paid , um , much more , conceding he is very comfortable -LRB- though he declined to say how comfortable -RRB- .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 72696
guess	what	No	But $ 200 is little more than a good plumber charges these days , and guess what ?	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 72732
guess	what	No	But guess what ?	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 72735
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 76992
know	why	No	It was a great game plan , and you know why ?	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 77569
know	why	Neg	Two wo n't have anything to do with him ; I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 80396
wonder	why	No	You may wonder why , because it seemed to some that the best New England 's offense has looked in weeks was when Bledsoe was calling the plays Sunday .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 86461
specify	which ones	Neg	Hasbro said it will also streamline several of its business units around the world , consolidate some sales and marketing activities and exit certain product lines , though it did n't specify which ones .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 92943
find	why	No	But they 're no dummies , so if one of your stocks is attracting a swarm of short sellers , it pays to try to find out why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 94111
know	when	Neg	I did n't know when , but I guess it 's now .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 101041
matter	where	Neg	It does n't matter where . ''	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 111325
say	how much more	Neg	He would not say how much more but added that prices at restraurants were not expected to rise .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 113241
say	by how much	Neg	She said she plans to cut her estimates of Peco 's earnings but would n't say by how much .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 132828
know	why	No	As Floyd puts it , `` If a stock you own is on this list , you should at least know why . ''	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 133681
say	when	Neg	CBS would n't say when , or if , the program will air .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 134070
understand	why	Neg	`` My note went up to $ 500 , and I did n't understand why . ''	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 137862
wonder	why	No	After receiving a State Department briefing , Everett released a statement saying , `` Obviously they did n't look hard enough or in the right places , and I have to wonder why . ''	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 138950
say	just what	No	`` There is no doubt we are going to do something , '' McSweeny testified , even though he steadfastly refused to say just what .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 140182
know	why	Neg	`` I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 148720
matter	how much	Neg	`` They say it absolutely does n't matter how much , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 150519
know	how long	Neg	Until this game , he had n't thrown an interception in I do n't know how long . ''	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 150986
see	why	No	I can see why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 159486
guess	what	No	But guess what ?	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 163481
know	why	Neg	`` I do n't know why , '' she said .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 164886
know	by how much	Neg	`` We do n't know by how much , but the offer was well over-subscribed , '' said Torres .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 166973
say	why	Neg	Rohm & Haas said last week it might sell the stake , though it did n't say why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 170419
specify	how much	Neg	At a meeting of Mercosur presidents in Montevideo on Monday , Malan said that Brazil 's prime interest rate , the TBC , would drop , though he did n't specify how much .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 181302
prove	why	No	When the guys who make the high salaries should prove why they make the high salaries .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 184072
know	how	Neg	`` They all want to be successful but they do n't know how , or they forget , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 187810
say	by how much	Neg	He said the Finance Ministry 's decision to ban Daiwa from trading equities on its own account will hurt the company 's bottom line , but did n't say by how much .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 190690
say	how much	Neg	Raytheon said it would record a fourth-quarter restructuring charge , but did n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 193626
say	how much	Neg	Raytheon said it would record a fourth-quarter restructuring charge , but did n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 199095
specify	when	Neg	He did n't specify when .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 206092
know	at what price	Neg	I just do n't know at what price . ''	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 210458
know	why	No	Well , do you know why ?	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 218089
wonder	why	No	No one seemed to wonder why at least until Mrs. Blasio and Judge Davis began their search into his past a few years ago why people came from all over the country to have their babies delivered by a country doctor in Georgia .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 223039
say	by how much	No	The most recent deal is expected to contribute `` immediately '' to Tyco earnings , company officials said , though they declined to say by how much .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 233740
know	precisely how many	Neg	Federal officials said Mexican workers , most of them unmarried young men , were smuggled across the border over at least the last three years to work for Atlantic Finishing , but they did not know precisely how many .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 234749
know	precisely how many	Neg	Federal officials said Mexican workers , most of them unmarried young men , were smuggled across the border over at least the last three years to work for Atlantic Finishing , but they did not know precisely how many .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 235951
say	how much	Neg	Lorna Wendt says she is providing seed money for the effort but wo n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 239657
specify	when	Neg	And although Ewing did not specify when , he did declare his hope to resume his role as the Knicks ' star in his first public statement since he had two-hour surgery to repair torn ligaments and correct a dislocated bone in his right , shooting wrist .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 248176
know	why	Neg	I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 256824
know	why	Neg	I do n't know why , either .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 259101
know	why	Neg	Before disappearing into the prison , Kaunda told reporters he had been notified that he would be detained for 28 days and did not know why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 261472
see	why	No	The Mac was billed as `` the computer for the rest of us , '' and it was easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 264938
say	how many	No	D'Amato 's aides were unable to say how many Monday night . -RRB-	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 286602
matter	how preposterous	No	The moment that a comment , now matter how preposterous , goes out across the airwaves , it acquires a level of legitimacy that it may not deserve and never could have achieved in the days before the explosion of talk radio and ubiquitous TV chat shows .	Treebanks/NYT-Parsed/nyt_eng_199712.tgrep2 290912
say	how many officers	Neg	The New York City Police Department -LRB- the department would not say how many officers -RRB- appeared to be in full force to maintain order , and 4,600 barricades were in place .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 188
know	why	No	You do n't even know why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 1504
say	which one	Neg	He did not say which one , but he has most recently used Costa Rica as the way station to the majors .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 1717
say	how much	Neg	Lorna Wendt says she is providing seed money for the effort but wo n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 4342
wonder	why	No	He was hurt but did n't look it , outwardly appearing fit yet unable to go to work when his team needed him , and too many people without knowledge of such things had begun to wonder why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 5788
know	why	Neg	I do n't know why , but that 's how it works with us , so when I saw Cowher on TV mention Shawn -LRB- Jefferson -RRB- , and Troy -LRB- Brown -RRB- , and Ben -LRB- Coates -RRB- and he did n't mention my name , I got upset .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 5884
say	by how much	Neg	The money will be used to contain the budget deficit , but he did not say by how much .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 12249
know	how much longer	Neg	`` I do n't know how much longer , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 14797
know	why	Neg	But something happened along the way and I do n't know why , whether we did n't make adjustments or they adjusted to us . ''	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 15197
know	why	No	`` We get upset and people want to know why . ''	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 15582
know	why	Neg	But something happened along the way and I do n't know why , whether we did n't make adjustments or they adjusted to us . ''	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 16012
